"pclass","sclass","tclass"
"Culture and recreation","Culture and arts","Motion picture, Radio, TV and other Entertainment Activities"
"Culture and recreation","Culture and arts","Dramatic Arts, Music and other Arts Activities"
"Culture and recreation","Culture and arts","News Agencies' Activities"
"Culture and recreation","Culture and arts","Libraries and Information Centres and Archives"
"Culture and recreation","Culture and arts","Museums and Preservation of Historical Sites"
"Culture and recreation","Culture and arts","Publishing, Printing and Reproduction of Recorded Media"
"Culture and recreation","Sports","Sporting Activities (includes fitness & wellness centres)"
"Culture and recreation","Other recreation and social clubs","Recreation and Social Clubs"
"Culture and recreation","Other recreation and social clubs","Service Clubs (provide services to members & local communities)"
"Culture and recreation","Culture and recreation, n.e.c.","Botanical and Zoological Gardens and Nature Reserves Activities"
"Culture and recreation","Culture and recreation, n.e.c.","Culture and recreation, n.e.c."
"Education and research","Primary and secondary education","Pre primary, Primary and Upper-primary"
"Education and research","Primary and secondary education","Gen. Secondary/Senior Secondary Education"
"Education and research","Primary and secondary education","Gen. Secondary/Senior Secondary school type Education for handicapped"
"Education and research","Higher education","General higher education in Science, Commerce and humanity"
"Education and research","Higher education","Higher education in Engineering and Technical courses"
"Education and research","Higher education","Higher education in Medical, Bio-technology and related courses"
"Education and research","Higher education","Higher education in professional/ vocational courses like Hotel management, Fashion design, Secretarial procedures, Teachers training, Law etc"
"Education and research","Higher education","Higher education in Management courses"
"Education and research","Higher education","Higher education in Information and Technology courses"
"Education and research","Higher education","Higher education in others not elsewhere classified"
"Education and research","Other education (Vocational/ technical schools)","Literacy programmes for children with no access to school"
"Education and research","Other education (Vocational/ technical schools)","Technical & vocational Secondary/Senior Secondary Education below university level"
"Education and research","Other education (Vocational/ technical schools)","Technical and vocational school type education for Handicapped"
"Education and research","Other education (Vocational/ technical schools)","Education by Correspondence"
"Education and research","Other education (Vocational/ technical schools)","Coaching Centres"
"Education and research","Other education (Vocational/ technical schools)","Tuitions by Individuals"
"Education and research","Other education (Vocational/ technical schools)","Training/ Education/ Conduct of Specialised courses in Computer knowledge"
"Education and research","Other education (Vocational/ technical schools)","Adult/ continuing education"
"Education and research","Research (Medical research, science and technology)","Research in Natural Sciences"
"Education and research","Research (Medical research, science and technology)","Research in Medical Sciences"
"Education and research","Research (Medical research, science and technology)","Research in Agriculture"
"Education and research","Research (Medical research, science and technology)","Research in Science &Technology"
"Education and research","Research (Medical research, science and technology)","Research in Social Sciences & Humanities"
"Education and research","Education and research, n.e.c.","Education and research, n.e.c."
"Health","Hospitals and rehabilitation","General and Specialised Hospitals with accommodation"
"Health","Nursing homes","Nursing Homes"
"Health","Mental health and crisis intervention","Mental Health and Crisis Intervention"
"Health","Mental health and crisis intervention","Psychiatric Hospitals"
"Health","Mental health and crisis intervention","Mental Health treatment"
"Health","Mental health and crisis intervention","Crisis Intervention"
"Health","Other health services","Consultations by General Physicians and Specialists"
"Health","Other health services","Activities of Nurses, Physiotherapists and Para medical practitioners"
"Health","Other health services","Independent Diagnostics/ Pathological laboratories"
"Health","Other health services","Independent Blood, Sperm & Organ banks"
"Health","Other health services","Independent Ambulance Activities"
"Health","Other health services","Public Health Education Activities"
"Health","Other health services","Other Human Health Activities, n.e.c"
"Health","Health, n.e.c.","Health, n.e.c."
"Social services","Social services","Homes for Children"
"Social services","Social services","Homes for the Aged"
"Social services","Social services","Homes for the Handicapped"
"Social services","Social services","Day Care Centres for Children"
"Social services","Social services","Day Care Centres for Handicapped"
"Social services","Social services","Marriage Bureaus"
"Social services","Social services","Mid Day Meals, Food distribution"
"Social services","Emergency and relief","Disaster/ Emergency Prevention and Control"
"Social services","Emergency and relief","Temporary Shelters"
"Social services","Emergency and relief","Refugee Assistance"
"Social services","Income support and maintenance","Clothing & Other Material Assistance"
"Social services","Social services, n.e.c.","Welfare and Guidance Activities for Children"
"Social services","Social services, n.e.c.","Other Counselling Centres"
"Social services","Social services, n.e.c.","Social services, n.e.c."
"Environment","Environment","Sustainable Agriculture"
"Environment","Environment","Sustainable Forestry"
"Environment","Environment","Recycling of Metal waste"
"Environment","Environment","Recycling of Non-metal waste"
"Environment","Environment","Soil Conservation Services"
"Environment","Environment","Conservation & Preservation of Natural Recourses"
"Environment","Animal protection","Sustainable Animal Husbandry and Dairy Farming"
"Environment","Animal protection","Protection Activities for Animals and Birds"
"Environment","Animal protection","Veterinary Activities"
"Environment","Animal protection","Pet Care Services"
"Environment","Environment, n.e.c.","Sewage and Refuse Disposal, Sanitation, etc"
"Environment","Environment, n.e.c.","Organisations Promoting Environmental Concerns"
"Environment","Environment, n.e.c.","Environment, n.e.c."
"Development and housing","Economic, social and community development","Generation of Electricity from Non Conventional Sources"
"Development and housing","Economic, social and community development","Grassroots Community Development Organisations"
"Development and housing","Economic, social and community development","Construction of Utility Projects (e.g. irrigation systems)"
"Development and housing","Economic, social and community development","Business and Management Consultancy"
"Development and housing","Economic, social and community development","Architectural, Engineering and Other Technical Activities"
"Development and housing","Economic, social and community development","Collection, Purification and Distribution of Water"
"Development and housing","Economic, social and community development","Construction and Maintenance of Roads, Bridges, Rail beds, Pipelines, etc"
"Development and housing","Housing","Real Estate and Renting"
"Development and housing","Housing","Inns, Dharamshalas and Other Short term Lodging"
"Development and housing","Housing","Student Dormitories, Halls, Hostels"
"Development and housing","Housing","Short Stay Accommodation, n.e.c"
"Development and housing","Housing","Construction of Residential Buildings"
"Development and housing","Employment and training","Job Training Programmes"
"Development and housing","Employment and training","Vocational Counselling and Guidance"
"Development and housing","Employment and training","Employment and Training, n.e.c"
"Development and housing","Development and housing, n.e.c.","Funeral and Related Activities"
"Development and housing","Development and housing, n.e.c.","Activities of Shoe shiners, Porters, etc"
"Development and housing","Development and housing, n.e.c.","Astrological and Spiritualists' Activities"
"Development and housing","Development and housing, n.e.c.","Activities of aayas, dhai, governess, baby sitter, etc"
"Development and housing","Development and housing, n.e.c.","Activities of General Household Maintenance/ Domestic Help"
"Development and housing","Development and housing, n.e.c.","Manufacture of Dairy Products"
"Development and housing","Development and housing, n.e.c.","Manufacture of Grain Mill Products"
"Development and housing","Development and housing, n.e.c.","Manufacture of other Food Products"
"Development and housing","Development and housing, n.e.c.","Manufacture of Beverages"
"Development and housing","Development and housing, n.e.c.","Manufacture of Tobacco Products"
"Development and housing","Development and housing, n.e.c.","Manufacture of Textiles"
"Development and housing","Development and housing, n.e.c.","Manufacture of Garments"
"Development and housing","Development and housing, n.e.c.","Tanning and Manufacture of Leather items"
"Development and housing","Development and housing, n.e.c.","Manufacture of Wood and Wood Products"
"Development and housing","Development and housing, n.e.c.","Manufacture of Paper and Paper Products"
"Development and housing","Development and housing, n.e.c.","Manufacture of Chemicals and Chemical Products"
"Development and housing","Development and housing, n.e.c.","Manufacture of Rubber and Plastic Products"
"Development and housing","Development and housing, n.e.c.","Manufacture of Glass and Glass Products"
"Development and housing","Development and housing, n.e.c.","Manufacture of Bricks, Clay and Ceramic Products"
"Development and housing","Development and housing, n.e.c.","Manufacture of Cement, Lime and Plaster"
"Development and housing","Development and housing, n.e.c.","Manufacture of other Non Metallic Mineral Products, n.e.c"
"Development and housing","Development and housing, n.e.c.","Manufacture of Fabricated Metal Products"
"Development and housing","Development and housing, n.e.c.","Manufacture of Machinery and Equipment, n.e.c"
"Development and housing","Development and housing, n.e.c.","Manufacture of Office Equipment"
"Development and housing","Development and housing, n.e.c.","Manufacture of Electrical Machinery"
"Development and housing","Development and housing, n.e.c.","Manufacture of Radio, TV and Communication Equipment"
"Development and housing","Development and housing, n.e.c.","Manufacture of Medical, Precision and Optical Instruments"
"Development and housing","Development and housing, n.e.c.","Manufacture of Transport Equipment"
"Development and housing","Development and housing, n.e.c.","Manufacture of Furniture"
"Development and housing","Development and housing, n.e.c.","Manufacture of Products, n.e.c"
"Development and housing","Development and housing, n.e.c.","Wholesale Trade"
"Development and housing","Development and housing, n.e.c.","Retail Trade"
"Development and housing","Development and housing, n.e.c.","Hotels and Caterings"
"Development and housing","Development and housing, n.e.c.","Land Transport (Taxi, School Buses, Bullock carts, etc)"
"Development and housing","Development and housing, n.e.c.","Water Transport"
"Development and housing","Development and housing, n.e.c.","Storage and Warehousing"
"Development and housing","Development and housing, n.e.c.","Other Supporting Transport Activities"
"Development and housing","Development and housing, n.e.c.","Travel and Tourists Assistance"
"Development and housing","Development and housing, n.e.c.","Courier and Telecom Related Services"
"Development and housing","Development and housing, n.e.c.","Accounting, Audit & Tax Consultancy"
"Development and housing","Development and housing, n.e.c.","Market Research & Public Opinion Polling"
"Development and housing","Development and housing, n.e.c.","Advertising"
"Development and housing","Development and housing, n.e.c.","Hardware Consultancy"
"Development and housing","Development and housing, n.e.c.","Software Publishing, Consultancy and Supply"
"Development and housing","Development and housing, n.e.c.","Web Page Designing"
"Development and housing","Development and housing, n.e.c.","Data Processing"
"Development and housing","Development and housing, n.e.c.","Organisations compiling directories and Lists"
"Development and housing","Development and housing, n.e.c.","Maintenance and repair of office, accounting and other computing machinery"
"Development and housing","Development and housing, n.e.c.","Activities of Cyber Café"
"Development and housing","Development and housing, n.e.c.","Other Computer Related Activities, n.e.c"
"Development and housing","Development and housing, n.e.c.","Other Business Activities, n.e.c"
"Development and housing","Development and housing, n.e.c.","Construction of Non-Residential Buildings"
"Development and housing","Development and housing, n.e.c.","Construction, n.e.c"
"Development and housing","Development and housing, n.e.c.","Development and housing, n.e.c."
"Law, advocacy and politics","Civic and advocacy organisations","Civic & Advocacy organisations"
"Law, advocacy and politics","Law and legal services","Legal Activities"
"Law, advocacy and politics","Political organisations","Activities of Political Organisations"
"Law, advocacy and politics","Law, advocacy and politics, n.e.c","Other Membership Organisations"
"Law, advocacy and politics","Law, advocacy and politics, n.e.c","Law, advocacy and politics, n.e.c"
"Philanthropic intermediaries and voluntarism promotion","Grant-making foundations","Financial Intermediation"
"Philanthropic intermediaries and voluntarism promotion","Grant-making foundations","Grant-making foundations"
"Philanthropic intermediaries and voluntarism promotion","Other philanthropic intermediaries and voluntarism promotion","Other Philanthropic Intermediaries and Voluntarism Promotion"
"International","International activities","International Disaster & Relief Organisations"
"International","International activities","International Human Rights & Peace Organisations"
"International","International activities","International Development Assistance Associations"
"International","International activities","International Exchange/ Cultural Programmes"
"Religion","Religious congregations and associations","Activities of Religious Organisations"
"Business and professional associations, unions","Business associations","Industry Associations, Chambers of Commerce and similar federations"
"Business and professional associations, unions","Professional associations","Professional Organisations"
"Business and professional associations, unions","Unions","Trade Unions"
"Business and professional associations, unions","Business and professional associations, unions, n.e.c.","Business And Professional Associations, Unions, n.e.c"
"Not elsewhere classified","Not elsewhere classified","Extra Territorial Organisations and Bodies (UN, UN agencies, IMF, EC, etc)"
"Not elsewhere classified","Not elsewhere classified","Not Elsewhere Classified"
